category,item,points,csm,product,cs_config,dashboard
Master Data,Signatures and logo for documents,1,x,,,
Master Data,Bank account details for documents,1,x,,,
Master Data,Countries,1,,x,,
Master Data,Regions,1,,x,,
Master Data,Ports,1,,x,,
Master Data,Payment Terms,1,,x,,
Master Data,Entities,1,,x,,
Master Data,Logistic forwarders,1,,x,,
Master Data,Trucking companies,2,,x,,
Master Data,Terminals,1,,x,,
Master Data,Agents,1,,x,,
Master Data,Contacts,8,x,,,
Master Data,Price indexes,2,,x,,
Master Data,Logistic materials,1,,x,,
Master Data,Packing,1,,x,,
Master Data,Commodities,2,,x,,
Master Data,Non-commodity products,2,,x,,
Master Data,Customers & Suppliers,5,x,,,
Master Data,Customer & Supplier locations,5,x,,,
Master Data,Warehouses,3,,x,,
Master Data,Stockpiles,1,,x,,
Master Data Setup,Get requirements (users; customers; suppliers; locations; warehouses; indexes; commodities),3,x,,,
Master Data Setup,Verify schema for Go Live,2,,,x,
Master Data Setup,Upload master data to user schema,3,,,x,
Master Data Setup,User review & validation,2,x,,,
Dashboard Setup,Get dashboard requirements,1,x,,,
Dashboard Setup,Configure dashboard widgets,2,,,,x
Dashboard Setup,User review & validation,1,x,,,
Transaction Migration,Request live transaction table samples,1,x,,,
Transaction Migration,Validate column mapping and ref number matching,2.5,,,x,
Transaction Migration,Create script for contracts,5,,x,,
Transaction Migration,Create script for allocations,5,,x,,
Transaction Migration,Create script for containers,5,,x,,
Transaction Migration,Create script for loadings,5,,x,,
Transaction Migration,Create script for deliveries,5,,x,,
Transaction Migration,Create script for invoices,5,,x,,
Transaction Migration,Create script for container invoicings,5,,x,,
External Emails,Purchase Emails,2.5,,,x,
External Emails,Sale Emails,2.5,,,x,
External Emails,Logistics Emails,2.5,,,x,
Internal Emails,Purchase Emails,2.5,,,x,
Internal Emails,Sale Emails,2.5,,,x,
Internal Emails,Logistics Emails,2.5,,,x,
Views,Operation views,2.5,,,x,
Views,Logistics views,2.5,,,x,
Views,Invoice views,2.5,,,x,
Permissions & Access,Request user confirmation on roles & permissions,1,x,,,
Permissions & Access,Create roles,3.5,,,x,
Permissions & Access,Assign roles,2.5,,,x,
Integrations,Material receiver / purchase_report,25,,x,,
Integrations,Freight plan,25,,x,,
Integrations,Material shipper / invoice,25,,x,,
Documents,Purchase Documents,5,,,x,
Documents,Sale Documents,5,,,x,
Documents,Logistics Documents,8,,,x,
Documents,Invoice Documents,8,,,x,
Notifications (Knock),Gather list of users needing notifications,1,x,,,
Notifications (Knock),Assign Operations notifications,2,,,x,
Notifications (Knock),Assign Logistics notifications,2,,,x,
Notifications (Knock),Assign Invoice notifications,2,,,x,
