category,item,points,csm,product,cs_config,dashboard,start_offset_days,end_offset_days
Master Data,Signatures and logo for documents,1,x,,,,56,55
Master Data,Bank account details for documents,1,x,,,,56,55
Master Data,Countries,1,,x,,,56,54
Master Data,Regions,1,,x,,,56,54
Master Data,Ports,1,,x,,,56,54
Master Data,Payment Terms,1,,x,,,56,54
Master Data,Entities,1,,x,,,56,54
Master Data,Logistic forwarders,1,,x,,,56,54
Master Data,Trucking companies,2,,x,,,56,53
Master Data,Terminals,1,,x,,,56,54
Master Data,Agents,1,,x,,,56,54
Master Data,Contacts,8,x,,,,56,48
Master Data,Price indexes,2,,x,,,56,53
Master Data,Logistic materials,1,,x,,,56,54
Master Data,Packing,1,,x,,,56,54
Master Data,Commodities,2,,x,,,56,53
Master Data,Non-commodity products,2,,x,,,56,53
Master Data,Customers & Suppliers,5,x,,,,56,50
Master Data,Customer & Supplier locations,5,x,,,,56,50
Master Data,Warehouses,3,,x,,,56,52
Master Data,Stockpiles,1,,x,,,56,54
Master Data Setup,Get requirements (users; customers; suppliers; locations; warehouses; indexes; commodities),3,x,,,,49,45
Master Data Setup,Verify schema for Go Live,2,,,x,,42,39
Master Data Setup,Upload master data to user schema,3,,,x,,39,35
Master Data Setup,User review & validation,2,x,,,,35,32
Dashboard Setup,Get dashboard requirements,1,x,,,,42,40
Dashboard Setup,Configure dashboard widgets,2,,,,x,40,35
Dashboard Setup,User review & validation,1,x,,,,35,33
Transaction Migration,Request live transaction table samples,1,x,,,,49,47
Transaction Migration,Validate column mapping and ref number matching,2.5,,,x,,47,44
Transaction Migration,Create script for contracts,5,,x,,,44,35
Transaction Migration,Create script for allocations,5,,x,,,44,35
Transaction Migration,Create script for containers,5,,x,,,44,35
Transaction Migration,Create script for loadings,5,,x,,,44,35
Transaction Migration,Create script for deliveries,5,,x,,,44,35
Transaction Migration,Create script for invoices,5,,x,,,44,35
Transaction Migration,Create script for container invoicings,5,,x,,,44,35
External Emails,Purchase Emails,2.5,,,x,,35,28
External Emails,Sale Emails,2.5,,,x,,35,28
External Emails,Logistics Emails,2.5,,,x,,35,28
Internal Emails,Purchase Emails,2.5,,,x,,35,28
Internal Emails,Sale Emails,2.5,,,x,,35,28
Internal Emails,Logistics Emails,2.5,,,x,,35,28
Views,Operation views,2.5,,,x,,28,21
Views,Logistics views,2.5,,,x,,28,21
Views,Invoice views,2.5,,,x,,28,21
Permissions & Access,Request user confirmation on roles & permissions,1,x,,,,21,19
Permissions & Access,Create roles,3.5,,,x,,19,14
Permissions & Access,Assign roles,2.5,,,x,,14,10
Integrations,Material receiver / purchase_report,25,,x,,,56,14
Integrations,Freight plan,25,,x,,,56,14
Integrations,Material shipper / invoice,25,,x,,,56,14
Documents,Purchase Documents,5,,,x,,28,14
Documents,Sale Documents,5,,,x,,28,14
Documents,Logistics Documents,8,,,x,,28,10
Documents,Invoice Documents,8,,,x,,28,10
Notifications (Knock),Gather list of users needing notifications,1,x,,,,14,12
Notifications (Knock),Assign Operations notifications,2,,,x,,12,7
Notifications (Knock),Assign Logistics notifications,2,,,x,,12,7
Notifications (Knock),Assign Invoice notifications,2,,,x,,12,7
